Component,Origin,License,Copyright
aws-sdk-js-v3,https://github.com/aws/aws-sdk-js-v3,Apache-2.0,Amazon Web Services
@types/aws-lambda,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,
@types/jest,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,
@types/node,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,
@types/uuid,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,
aws-cdk,https://github.com/aws/aws-cdk,Apache-2.0,Amazon Web Services
aws-cdk-lib,https://github.com/aws/aws-cdk,Apache-2.0,Amazon Web Services
axios,https://github.com/axios/axios,MIT,
constructs,https://github.com/aws/constructs,Apache-2.0,Amazon Web Services
datadog-cdk-constructs-v2,https://github.com/DataDog/datadog-cdk-constructs,Apache-2.0,Datadog
datadog-lambda-js,https://github.com/DataDog/datadog-lambda-js,Apache-2.0,Datadog
dd-trace,https://github.com/DataDog/dd-trace-js,Apache-2.0,Datadog
esbuild,https://github.com/evanw/esbuild,MIT,
jest,https://github.com/jestjs/jest,MIT,
moq.ts,https://github.com/dvabuzyarov/moq.ts,Apache-2.0,
serverless,https://github.com/serverless/serverless,MIT,Serverless Inc
serverless-esbuild,https://github.com/floydspace/serverless-esbuild,MIT,
serverless-plugin-datadog,https://github.com/DataDog/serverless-plugin-datadog,Apache-2.0,Datadog
serverless-step-functions,https://github.com/horike37/serverless-step-functions,MIT,
source-map-support,https://github.com/evanw/node-source-map-support,MIT,
ts-jest,https://github.com/kulshekhar/ts-jest,MIT,
ts-node,https://github.com/TypeStrong/ts-node,MIT,
typescript,https://github.com/Microsoft/TypeScript,Apache-2.0,Microsoft
uuid,https://github.com/uuidjs/uuid,MIT,
@aws-lambda-powertools/logger,https://github.com/aws-powertools/powertools-lambda-typescript,MIT-0,Amazon Web Services
zod,https://github.com/colinhacks/zod,MIT,
sst,https://github.com/sst/sst,MIT,
spring-cloud-context,,Apache-2.0,
spring-cloud-function-adapter-aws,,Apache-2.0,
aws-lambda-java-events,https://github.com/aws/aws-lambda-java-libs/tree/main/aws-lambda-java-events,Apache-2.0,Amazon Web Services
aws-lambda-java-core,https://github.com/aws/aws-lambda-java-libs/tree/main/aws-lambda-java-events,Apache-2.0,Amazon Web Services
jackson-databind,https://github.com/FasterXML/jackson-databind,Apache-2.0,
jackson-core,https://github.com/FasterXML/jackson-core,Apache-2.0,
slf4j-api,https://github.com/qos-ch/slf4j,MIT,
logback-classic,https://github.com/qos-ch/logback,GNU,
logback-json-classic,https://github.com/qos-ch/logback,GNU,
opentracing-api,https://github.com/opentracing/opentracing-java,Apache-2.0,
opentracing-util,https://github.com/opentracing/opentracing-java,Apache-2.0,
dd-trace-java,https://github.com/DataDog/dd-trace-java,Apache-2.0,Datadog
software.amazon.awssdk,https://github.com/aws/aws-sdk-java-v2,Apache-2.0,Amazon Web Services
java-dogstatsd-client,https://github.com/DataDog/java-dogstatsd-client,MIT,Datadog
Amazon.CDK.AWS.Lambda.DotNet,https://github.com/cdklabs/awscdk-lambda-dotnet.git,Apache-2.0,Amazon Web Services
Amazon.CDK.Lib,https://github.com/aws/aws-cdk.git,Apache-2.0,Amazon Web Services
Constructs,https://github.com/aws/constructs.git,Apache-2.0,
Amazon.Lambda.Annotations,https://github.com/aws/aws-lambda-dotnet,Apache-2.0,Amazon Web Services
Amazon.Lambda.APIGatewayEvents,https://github.com/aws/aws-lambda-dotnet,Apache-2.0,Amazon Web Services
Amazon.Lambda.SNSEvents,https://github.com/aws/aws-lambda-dotnet,Apache-2.0,Amazon Web Services
Amazon.Lambda.SQSEvents,https://github.com/aws/aws-lambda-dotnet,Apache-2.0,Amazon Web Services
Amazon.Lambda.Core,https://github.com/aws/aws-lambda-dotnet,Apache-2.0,Amazon Web Services
Amazon.Lambda.Serialization.SystemTextJson,https://github.com/aws/aws-lambda-dotnet,Apache-2.0,Amazon Web Services
AWS.Lambda.Powertools.Logging,https://github.com/aws-powertools/powertools-lambda-dotnet,Apache-2.0,Amazon Web Services
AWSSDK.DynamoDBv2,https://github.com/aws/aws-sdk-net/,Apache-2.0,Amazon Web Services
AWSSDK.SimpleNotificationService,https://github.com/aws/aws-sdk-net/,Apache-2.0,Amazon Web Services
Datadog.Trace,https://github.com/DataDog/dd-trace-dotnet.git,Apache-2.0,Datadog
DogStatsD-CSharp-Client,https://github.com/DataDog/dogstatsd-csharp-client,MIT,Datadog
NJsonSchema,https://github.com/RicoSuter/NJsonSchema,MIT,
FluentValidation,https://github.com/JeremySkinner/fluentvalidation,Apache-2.0,
Microsoft.Extensions.DependencyInjection,https://github.com/dotnet/runtime,MIT,Microsoft
Microsoft.Extensions.DependencyInjection.Abstractions,https://github.com/dotnet/runtime,MIT,Microsoft
coverlet.collector,https://github.com/coverlet-coverage/coverlet.git,MIT,
FakeItEasy,https://github.com/FakeItEasy/FakeItEasy.git,MIT,
xunit,https://github.com/xunit/xunit,Apache-2.0,
anyhow,https://github.com/dtolnay/anyhow, Apache-2.0,
thiserror,https://github.com/dtolnay/thiserror,Apache-2.0,
tokio,https://github.com/tokio-rs/tokio,MIT,
serde,https://github.com/serde-rs/serde,MIT,
serde_json,https://github.com/serde-rs/json,MIT,
tracing,https://github.com/tokio-rs/tracing,MIT,
opentelemetry,https://github.com/open-telemetry/opentelemetry-rust,Apache-2.0
opentelemetry-datadog,https://github.com/open-telemetry/opentelemetry-rust-contrib/tree/main/opentelemetry-datadog,Apache-2.0,
aws_lambda_events,https://github.com/awslabs/aws-lambda-rust-runtime,Apache-2.0,Amazon Web Services
lambda_runtime,https://github.com/awslabs/aws-lambda-rust-runtime,Apache-2.0,Amazon Web Services
lambda_http,https://github.com/awslabs/aws-lambda-rust-runtime,Apache-2.0,Amazon Web Services
aws-config,https://github.com/awslabs/aws-lambda-rust-runtime,Apache-2.0,Amazon Web Services
aws-sdk-sfn,https://github.com/awslabs/aws-sdk-rust,Apache-2.0,Amazon Web Services
aws-sdk-sns,https://github.com/awslabs/aws-sdk-rust,Apache-2.0,Amazon Web Services
aws-sdk-eventbridge,https://github.com/awslabs/aws-sdk-rust,Apache-2.0,Amazon Web Services
aws-sdk-dynamodb,https://github.com/awslabs/aws-sdk-rust,Apache-2.0,Amazon Web Services
